Keyword,utterance,Response
hoodie,Do you have Yeezy hoodies?,"Yes, we offer Yeezy hoodies in multiple colors and sizes"
hoodie,Show me black Yeezy hoodie,We have black yeezy hoodies available.Please select your size.
hoodie,Price of Yeezy hoodie,Yeezy hoodies start from 1200ksh depending on style
hoodie,Is hoodie available in medium?,"Yes, medium size hoodies are currently in stock."
hoodie,Best selling hoodie,Our best seller is the Yeezy oversized hoodie
tshirt,White Yeezy tee please,We have white Yeezy tshirts ready to order.
much,How much is a yeezy tshirt?,Yeezy yshirt start from 1000ksh
tshirt,Oversized tshirt available?,"Yes, oversized Yeezy tees are available now"
tshirt,Show latest tees,Here are the latest Yeezy tshirt arrivals
jacket,Do you have Yeezy jackets?,"Yes, Yeezy jackets are available in selected styles"
winter,Need winter jacket,We recommend the Yeezy padded winter jacket
Black jacket ,Black jacket price,Black Yeezy jackets start from 2500ksh.
jacket,Bomber jacket available?,"Yes, Yeezy bomber jackets are in stock"
jacket,Show all jackets,Here is our full Yeezy jacket collection
pants,Do you sell Yeezy pants?,"Yes, Yeezy pants are available in jogger and cargo styles."
pants,Need joggers,We have Yeezy joggers available in all sizes.
pants,Cargo pants price,Yeezy cargo pants start from 2100ksh
pants,Black pants medium,Black pants in medium are available
pants,Show pants collection,Here is our Yeezy pants collection
shoes,Do you have Yeezy shoes?,"Yes, Yeezy footwear is available in popular styles"
shoes,Show yeezy sneakers,Here are our latest Yeezy sneakers.
shoes,Size 10 available?,"Yes, size 10 is available in selected models."
shoes,Shoe price,Yeezy shoes start from 2900ksh
shoes,Best sneaker now,Our top seller is the Yeezy boost sneaker
size,Which sizes do you have,All sizes are available
size,Do sizes run big?,Most Yeezy clothing has an oversized fit.
size,Need medium fit advice,"If you prefer regular fit, medium should work well."
size,What size should I buy?,Please share your height and weight for size guidance
size,Is exchange size possible,"Yes, size exchanges are available within policy terms"
order,How do I order?,"Simply choose your item,size,and proceed to checkout."
order,Can I cancel an order?,Orders can be canceled before shipment
order,Track my order,Please provide your order number for tracking
order,Change delivery address,Address changes are possible before dispatch
order,Ortder confirmation not received,Plerase contact support.
shipping,Do you ship worldwide?,"Yes, we offer international shipping."
shipping,Shipping cost,Shippingcost depends on your location at checkout
shipping,How long delivery takes?,Delivery usually takes 3-7 business days.
shipping,Express shipping available?,"Yes, express shipping options are available"
shipping,Free shipping offer?,Free shipping may apply on selected orders
return,Can I return items?,"Yes, returns are accepted within our return window"
return,How do I return an item,Start a return request through your account portal
return,Refund time,Refunds are processed within 5-10 business days.
return,Can I exchange instead of refund,"Yes, exchanges are available for eligible items"
return ,return policy,Items must be unworn with tags attached
sale,Any yeezy sale now?,No yeezy item is currently on sale
sale,Discount code available,Please check the site for the discount code
sale,Cheapest hoodie,Our lowest price hoodie starts from 1200ksh
sale,New arrivals,New yeezy arrivals have just been added
support,Need help with purchase,Im here to help with the products
more,Tell me more about yeezy,Yeezy is an app which sells simple but stylish clothes
black,black jacket price,Yeezy black jackets start from 2500kes
refund,I want a refund,You can visit our office for refunds
